Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19957,20,19,4
3,19941,31,22,6
4,19926,39,25,10
5,19913,46,30,11
6,19890,61,36,13
7,19867,67,47,19
8,19835,82,59,24
9,19796,104,69,31
10,19738,134,90,38
11,19676,150,122,52
12,19599,186,146,69
13,19489,251,167,93
14,19381,299,207,113
15,19247,352,259,142
16,19085,422,311,182
17,18859,550,365,226
18,18600,654,483,263
19,18297,757,620,326
20,17889,947,748,416
21,17470,1096,930,504
22,16899,1336,1118,647
23,16250,1613,1357,780
24,15493,1942,1600,965
25,14654,2247,1936,1163
26,13723,2564,2314,1399
27,12599,2950,2774,1677
28,11452,3218,3291,2039
29,10232,3478,3821,2469
30,8881,3884,4262,2973
31,7648,4002,4829,3521
32,6473,4020,5315,4192
33,5391,3940,5804,4865
34,4400,3820,6186,5594
35,3577,3592,6372,6459
36,2872,3315,6513,7300
37,2314,2970,6573,8143
38,1837,2613,6569,8981
39,1520,2230,6380,9870
40,1248,1913,6118,10721
41,1018,1593,5835,11554
42,873,1322,5491,12314
43,762,1075,5152,13011
44,675,903,4778,13644
45,617,767,4372,14244
46,579,622,4029,14770
47,558,531,3666,15245
48,536,439,3321,15704
49,534,378,3000,16088
50,522,323,2711,16444
51,531,272,2436,16761
52,555,237,2194,17014
53,583,199,1991,17227
54,597,189,1773,17441
55,613,171,1589,17627
56,650,143,1420,17787
57,696,124,1272,17908
58,721,117,1150,18012
59,756,108,1003,18133
60,793,104,878,18225
61,828,97,773,18302
62,876,93,690,18341
63,922,82,633,18363
64,971,89,546,18394
65,1016,80,505,18399
66,1062,79,463,18396
67,1111,67,417,18405
68,1167,60,384,18389
69,1206,66,354,18374
70,1261,58,332,18349
71,1307,55,296,18342
72,1359,51,280,18310
73,1422,40,264,18274
74,1470,39,235,18256
75,1529,39,203,18229
76,1572,40,177,18211
77,1628,42,156,18174
78,1687,37,144,18132
79,1744,35,131,18090
80,1795,25,121,18059
81,1852,20,116,18012
82,1907,17,104,17972
83,1962,13,98,17927
84,2018,17,84,17881
85,2070,17,73,17840
86,2130,15,67,17788
87,2195,18,64,17723
88,2252,20,59,17669
89,2300,15,50,17635
90,2361,18,47,17574
91,2422,20,44,17514
92,2479,17,41,17463
93,2524,10,40,17426
94,2591,13,34,17362
95,2639,16,31,17314
96,2692,14,29,17265
97,2742,16,28,17214
98,2799,12,30,17159
99,2848,12,29,17111
100,2888,14,30,17068
101,2930,13,28,17029
102,2979,12,31,16978
103,3029,11,28,16932
104,3083,13,25,16879
105,3125,14,22,16839
106,3185,9,23,16783
107,3249,9,23,16719
108,3297,10,19,16674
109,3344,9,23,16624
110,3401,8,24,16567
111,3444,11,20,16525
112,3497,8,22,16473
113,3548,12,21,16419
114,3605,11,21,16363
115,3641,11,23,16325
116,3682,10,25,16283
117,3727,11,26,16236
118,3771,12,30,16187
119,3819,12,24,16145
120,3861,11,24,16104
121,3903,9,24,16064
122,3941,8,19,16032
123,3977,13,16,15994
124,4013,12,18,15957
125,4056,11,19,15914
126,4098,10,15,15877
127,4129,8,17,15846
128,4170,7,20,15803
129,4221,10,20,15749
130,4258,9,20,15713
131,4309,10,19,15662
132,4355,11,21,15613
133,4389,13,21,15577
134,4431,12,26,15531
135,4477,10,29,15484
136,4526,8,27,15439
137,4570,10,31,15389
138,4607,13,29,15351
139,4638,15,31,15316
140,4675,17,31,15277
141,4707,16,32,15245
142,4753,19,34,15194
143,4797,13,39,15151
144,4835,14,36,15115
145,4869,22,32,15077
146,4894,23,32,15051
147,4928,18,40,15014
148,4968,20,42,14970
149,5019,23,39,14919
150,5060,28,35,14877
151,5093,22,37,14848
152,5131,24,35,14810
153,5157,23,43,14777
154,5203,23,40,14734
155,5232,23,38,14707
156,5269,25,36,14670
157,5307,32,37,14624
158,5349,31,40,14580
159,5383,27,45,14545
160,5414,27,43,14516
161,5453,26,40,14481
162,5490,25,40,14445
163,5517,28,42,14413
164,5558,24,46,14372
165,5587,29,45,14339
166,5616,34,45,14305
167,5644,41,44,14271
168,5688,39,44,14229
169,5714,37,46,14203
170,5739,29,55,14177
171,5772,38,53,14137
172,5817,36,51,14096
173,5839,30,62,14069
174,5869,37,60,14034
175,5915,34,65,13986
176,5938,36,73,13953
177,5951,41,76,13932
178,5978,39,69,13914
179,5998,45,74,13883
180,6025,46,81,13848
181,6067,46,84,13803
182,6097,47,87,13769
183,6120,52,81,13747
184,6140,54,87,13719
185,6151,55,95,13699
186,6182,57,104,13657
187,6195,64,103,13638
188,6207,75,107,13611
189,6239,74,113,13574
190,6256,74,121,13549
191,6282,72,129,13517
192,6294,86,125,13495
193,6305,102,128,13465
194,6316,103,133,13448
195,6317,107,144,13432
196,6333,95,163,13409
197,6329,118,160,13393
198,6325,127,167,13381
199,6335,149,164,13352
200,6353,132,184,13331
201,6342,144,182,13332
202,6349,147,188,13316
203,6348,147,196,13309
204,6337,144,220,13299
205,6312,153,242,13293
206,6296,153,246,13305
207,6283,152,263,13302
208,6251,165,277,13307
209,6232,191,282,13295
210,6211,194,311,13284
211,6164,216,330,13290
212,6129,239,356,13276
213,6099,255,372,13274
214,6076,244,399,13281
215,6060,238,415,13287
216,6024,253,430,13293
217,5962,289,428,13321
218,5933,271,461,13335
219,5896,287,480,13337
220,5844,307,506,13343
221,5785,324,524,13367
222,5710,364,540,13386
223,5636,382,559,13423
224,5557,396,582,13465
225,5469,404,607,13520
226,5389,408,650,13553
227,5312,415,664,13609
228,5221,425,696,13658
229,5142,425,730,13703
230,5046,443,758,13753
231,4971,438,798,13793
232,4897,426,838,13839
233,4797,449,838,13916
234,4707,465,846,13982
235,4619,483,839,14059
236,4537,486,850,14127
237,4456,461,876,14207
238,4394,446,903,14257
239,4321,445,919,14315
240,4231,460,933,14376
241,4144,474,937,14445
242,4068,475,968,14489
243,3977,467,987,14569
244,3930,454,986,14630
245,3859,447,981,14713
246,3814,425,971,14790
247,3764,424,954,14858
248,3712,418,952,14918
249,3666,416,922,14996
250,3605,401,945,15049
251,3530,411,934,15125
252,3444,421,930,15205
253,3403,408,928,15261
254,3378,393,898,15331
255,3363,385,884,15368
256,3332,381,880,15407
257,3316,375,863,15446
258,3291,379,856,15474
259,3260,370,841,15529
260,3246,355,830,15569
261,3204,358,810,15628
262,3182,338,802,15678
263,3176,325,793,15706
264,3140,341,766,15753
265,3117,312,772,15799
266,3097,301,778,15824
267,3089,283,761,15867
268,3084,256,755,15905
269,3081,261,731,15927
270,3072,273,713,15942
271,3071,262,723,15944
272,3078,264,672,15986
273,3085,265,654,15996
274,3083,259,633,16025
275,3091,247,602,16060
276,3116,246,574,16064
277,3125,226,566,16083
278,3163,219,553,16065
279,3196,202,546,16056
280,3220,207,531,16042
281,3254,196,506,16044
282,3268,204,482,16046
283,3307,205,482,16006
284,3352,202,465,15981
285,3376,203,458,15963
286,3392,201,456,15951
287,3415,196,443,15946
288,3446,184,437,15933
289,3471,182,415,15932
290,3509,194,394,15903
291,3538,192,370,15900
292,3576,173,384,15867
293,3612,162,391,15835
294,3648,160,375,15817
295,3692,148,375,15785
296,3733,150,359,15758
297,3772,152,352,15724
298,3815,156,339,15690
299,3854,158,340,15648
300,3881,161,334,15624
301,3935,159,331,15575
302,3994,149,343,15514
303,3998,155,358,15489
304,4020,154,352,15474
305,4049,171,359,15421
306,4069,171,364,15396
307,4108,164,371,15357
308,4131,182,356,15331
309,4166,188,351,15295
310,4194,184,368,15254
311,4202,213,361,15224
312,4242,205,368,15185
313,4250,219,359,15172
314,4295,189,373,15143
315,4331,179,376,15114
316,4352,186,382,15080
317,4370,197,387,15046
318,4416,187,383,15014
319,4435,190,394,14981
320,4465,199,405,14931
321,4472,203,414,14911
322,4507,209,401,14883
323,4514,229,408,14849
324,4529,226,410,14835
325,4550,222,397,14831
326,4560,214,412,14814
327,4567,224,411,14798
328,4609,211,438,14742
329,4619,220,439,14722
330,4634,214,452,14700
331,4657,235,443,14665
332,4681,230,454,14635
333,4693,245,448,14614
334,4705,237,473,14585
335,4707,257,460,14576
336,4720,260,472,14548
337,4719,275,477,14529
338,4733,283,484,14500
339,4752,270,499,14479
340,4757,272,507,14464
341,4734,292,502,14472
342,4754,278,520,14448
343,4748,293,520,14439
344,4733,326,521,14420
345,4729,316,560,14395
346,4722,331,558,14389
347,4698,343,581,14378
348,4670,360,578,14392
349,4665,343,610,14382
350,4648,323,642,14387
351,4612,355,628,14405
352,4568,369,655,14408
353,4526,368,672,14434
354,4521,352,683,14444
355,4528,335,693,14444
356,4506,342,714,14438
357,4460,362,707,14471
358,4416,368,726,14490
359,4386,365,722,14527
360,4358,368,735,14539
361,4357,360,749,14534
362,4332,377,738,14553
363,4307,397,733,14563
364,4280,395,726,14599
365,4266,380,748,14606
366,4231,367,761,14641
367,4204,374,753,14669
368,4180,373,769,14678
369,4166,380,776,14678
370,4123,374,797,14706
371,4103,376,779,14742
372,4069,392,769,14770
373,4059,384,774,14783
374,4052,377,776,14795
375,4028,397,781,14794
376,4036,388,778,14798
377,4032,393,762,14813
378,3984,408,771,14837
379,3929,432,776,14863
380,3938,381,809,14872
381,3927,366,826,14881
382,3899,370,813,14918
383,3885,358,820,14937
384,3868,367,807,14958
385,3856,350,800,14994
386,3841,360,802,14997
387,3822,361,807,15010
388,3805,381,785,15029
389,3813,367,774,15046
390,3791,375,787,15047
391,3807,372,787,15034
392,3792,380,788,15040
393,3776,382,789,15053
394,3787,372,776,15065
395,3778,372,791,15059
396,3754,367,794,15085
397,3731,363,798,15108
398,3726,350,788,15136
399,3714,343,775,15168
400,3707,356,775,15162
401,3718,329,777,15176
402,3720,318,780,15182
403,3723,316,763,15198
404,3699,341,753,15207
405,3667,364,752,15217
406,3681,347,750,15222
407,3699,347,760,15194
408,3706,322,767,15205
409,3725,304,759,15212
410,3708,287,773,15232
411,3711,312,742,15235
412,3731,311,739,15219
413,3735,312,723,15230
414,3730,309,719,15242
415,3733,307,706,15254
416,3740,305,697,15258
417,3780,288,675,15257
418,3793,283,669,15255
419,3790,293,670,15247
420,3802,286,657,15255
421,3833,277,649,15241
422,3829,299,639,15233
423,3842,284,645,15229
424,3854,275,643,15228
425,3870,273,647,15210
426,3862,275,649,15214
427,3894,272,653,15181
428,3938,267,634,15161
429,3954,286,629,15131
430,3973,285,625,15117
431,3971,289,623,15117
432,3981,299,605,15115
433,3976,309,595,15120
434,3990,310,592,15108
435,4011,296,617,15076
436,4022,312,584,15082
437,4056,292,577,15075
438,4069,284,568,15079
439,4090,296,553,15061
440,4126,285,554,15035
441,4135,271,565,15029
442,4155,264,573,15008
443,4174,263,578,14985
444,4199,251,570,14980
445,4222,263,570,14945
446,4219,266,567,14948
447,4216,263,565,14956
448,4224,257,576,14943
449,4244,263,576,14917
450,4262,274,558,14906
451,4269,282,561,14888
452,4256,299,558,14887
453,4242,323,578,14857
454,4231,348,554,14867
455,4212,346,562,14880
456,4235,340,567,14858
457,4231,315,588,14866
458,4237,288,615,14860
459,4239,304,602,14855
460,4232,333,584,14851
461,4236,325,612,14827
462,4225,340,615,14820
463,4201,345,623,14831
464,4231,334,635,14800
465,4223,344,644,14789
466,4219,339,640,14802
467,4214,319,666,14801
468,4198,356,645,14801
469,4209,363,642,14786
470,4207,345,661,14787
471,4210,352,667,14771
472,4232,343,681,14744
473,4230,340,681,14749
474,4205,340,667,14788
475,4222,327,681,14770
476,4218,336,659,14787
477,4191,338,668,14803
478,4183,334,673,14810
479,4170,343,673,14814
480,4140,345,692,14823
481,4155,310,716,14819
482,4153,314,732,14801
483,4130,335,704,14831
484,4109,344,693,14854
485,4096,330,710,14864
486,4091,330,694,14885
487,4075,333,702,14890
488,4040,352,691,14917
489,4027,337,695,14941
490,4030,325,698,14947
491,4003,349,697,14951
492,3998,337,691,14974
493,3982,344,684,14990
494,3964,350,681,15005
495,3948,354,669,15029
496,3962,351,686,15001
497,3965,354,675,15006
498,3976,339,681,15004
499,3972,333,704,14991
500,3963,344,705,14988
501,3960,353,689,14998
502,3934,357,711,14998
503,3937,316,733,15014
504,3906,325,710,15059
505,3922,316,717,15045
506,3898,336,691,15075
507,3900,322,699,15079
508,3889,315,700,15096
509,3877,323,699,15101
510,3854,324,717,15105
511,3853,326,720,15101
512,3852,310,717,15121
513,3837,326,692,15145
514,3852,313,689,15146
515,3868,307,669,15156
516,3911,281,671,15137
517,3923,293,656,15128
518,3931,312,644,15113
519,3953,308,641,15098
520,3937,315,643,15105
521,3950,315,639,15096
522,3949,319,641,15091
523,3931,327,639,15103
524,3949,316,654,15081
525,3942,314,669,15075
526,3921,315,688,15076
527,3917,306,672,15105
528,3910,307,682,15101
529,3918,297,684,15101
530,3905,310,685,15100
531,3898,338,677,15087
532,3885,330,685,15100
533,3899,321,684,15096
534,3886,320,666,15128
535,3880,316,680,15124
536,3865,310,700,15125
537,3850,329,706,15115
538,3847,326,699,15128
539,3838,328,699,15135
540,3828,331,695,15146
541,3834,336,687,15143
542,3821,317,713,15149
543,3816,323,702,15159
544,3842,299,694,15165
545,3846,296,672,15186
546,3830,297,653,15220
547,3822,293,660,15225
548,3818,308,650,15224
549,3838,271,656,15235
550,3866,262,650,15222
551,3884,286,614,15216
552,3890,279,586,15245
553,3881,300,559,15260
554,3912,291,574,15223
555,3926,292,566,15216
556,3932,297,542,15229
557,3937,315,537,15211
558,3938,308,545,15209
559,3962,288,568,15182
560,3983,280,570,15167
561,3994,304,551,15151
562,3986,297,577,15140
563,4008,276,576,15140
564,4038,274,588,15100
565,4050,280,584,15086
566,4056,297,573,15074
567,4085,307,562,15046
568,4096,307,574,15023
569,4109,297,589,15005
570,4114,308,584,14994
571,4117,310,575,14998
572,4117,302,584,14997
573,4129,292,586,14993
574,4138,271,609,14982
575,4149,259,592,15000
576,4146,276,566,15012
577,4151,271,581,14997
578,4152,274,584,14990
579,4148,284,594,14974
580,4130,298,596,14976
581,4132,298,592,14978
582,4129,287,598,14986
583,4155,273,598,14974
584,4165,275,614,14946
585,4177,269,615,14939
586,4184,288,625,14903
587,4183,302,608,14907
588,4200,284,618,14898
589,4184,308,604,14904
590,4186,309,622,14883
591,4209,288,621,14882
592,4213,290,628,14869
593,4232,288,630,14850
594,4229,298,629,14844
595,4234,308,618,14840
596,4220,329,603,14848
597,4219,324,622,14835
598,4224,319,621,14836
599,4261,295,619,14825
600,4234,324,607,14835
601,4239,317,618,14826
602,4238,327,631,14804
603,4224,325,659,14792
604,4225,343,660,14772
605,4214,341,660,14785
606,4223,344,666,14767
607,4204,343,682,14771
608,4195,349,689,14767
609,4188,340,693,14779
610,4150,366,681,14803
611,4155,351,689,14805
612,4155,356,680,14809
613,4151,360,673,14816
614,4148,347,677,14828
615,4152,348,677,14823
616,4176,333,679,14812
617,4195,320,694,14791
618,4184,337,687,14792
619,4162,341,695,14802
620,4163,333,711,14793
621,4112,353,698,14837
622,4094,368,685,14853
623,4101,377,680,14842
624,4101,380,679,14840
625,4106,356,702,14836
626,4123,331,723,14823
627,4104,329,722,14845
628,4096,337,718,14849
629,4075,356,695,14874
630,4070,365,697,14868
631,4066,348,705,14881
632,4055,349,704,14892
633,4065,330,702,14903
634,4062,332,701,14905
635,4080,318,697,14905
636,4098,314,700,14888
637,4074,324,724,14878
638,4061,344,719,14876
639,4065,332,736,14867
640,4062,341,716,14881
641,4053,331,733,14883
642,4047,343,716,14894
643,4030,339,732,14899
644,4024,318,741,14917
645,4023,304,738,14935
646,4014,317,715,14954
647,4011,315,712,14962
648,3999,344,697,14960
649,4012,331,694,14963
650,3996,348,681,14975
651,3975,353,708,14964
652,3981,364,700,14955
653,3973,337,738,14952
654,4001,345,732,14922
655,4008,345,749,14898
656,4001,352,724,14923
657,4004,336,715,14945
658,3993,337,724,14946
659,3986,347,716,14951
660,3975,351,714,14960
661,3949,348,723,14980
662,3995,321,729,14955
663,3980,326,721,14973
664,3948,352,710,14990
665,3951,349,712,14988
666,3949,333,717,15001
667,3943,332,740,14985
668,3947,349,695,15009
669,3959,340,692,15009
670,3970,344,694,14992
671,3982,340,689,14989
672,4002,341,682,14975
673,4012,317,684,14987
674,4015,317,683,14985
675,4021,324,677,14978
676,4032,316,666,14986
677,4035,315,659,14991
678,4068,312,658,14962
679,4050,327,662,14961
680,4043,345,662,14950
681,4054,325,679,14942
682,4063,316,690,14931
683,4092,293,698,14917
684,4090,311,683,14916
685,4102,315,668,14915
686,4087,315,693,14905
687,4098,320,667,14915
688,4081,324,663,14932
689,4082,317,667,14934
690,4073,330,662,14935
691,4068,339,652,14941
692,4067,348,647,14938
693,4085,318,652,14945
694,4099,326,651,14924
695,4115,292,678,14915
696,4127,290,671,14912
697,4127,312,667,14894
698,4111,331,654,14904
699,4137,310,668,14885
700,4146,309,661,14884
701,4151,335,649,14865
702,4153,326,687,14834
703,4173,334,682,14811
704,4190,320,687,14803
705,4175,333,687,14805
706,4164,336,668,14832
707,4201,316,682,14801
708,4177,329,688,14806
709,4179,351,688,14782
710,4211,336,692,14761
711,4199,328,693,14780
712,4200,350,651,14799
713,4203,340,651,14806
714,4200,344,667,14789
715,4189,357,669,14785
716,4214,348,681,14757
717,4192,375,642,14791
718,4186,373,660,14781
719,4172,367,670,14791
720,4186,344,686,14784
721,4173,349,695,14783
722,4173,342,703,14782
723,4166,346,715,14773
724,4160,369,698,14773
725,4164,342,706,14788
726,4150,349,701,14800
727,4129,360,716,14795
728,4124,373,700,14803
729,4110,360,717,14813
